# 장·절·부의 개수를 세는 서술 (RFC-0028 §3.4).
# 재편 뒤에는 한 줄씩 읽고 고친 다음 --- scripts/check-counting-prose.py --write
# 파일	표현
book-en/appendix/a4-reading.typ	two chapters
book-en/chapters/ch01.typ	four remaining chapters
book-en/chapters/ch01.typ	several chapters
book-en/chapters/ch06.typ	three chapters
book-en/chapters/ch15.typ	ten chapters
book-en/chapters/ch16.typ	fifteen chapters
book-en/chapters/ch20.typ	the remaining three chapters
book-en/chapters/ch20.typ	three chapters
book-en/chapters/ch25.typ	Three chapters
book-en/chapters/ch31.typ	one chapter
book-en/chapters/ch34.typ	one chapter
book-en/chapters/ch37.typ	Six chapters
book-en/chapters/ch39.typ	the next two chapters
book-en/chapters/ch39.typ	two chapters
book-en/chapters/ch42.typ	two chapters
book-en/chapters/ch46.typ	ten chapters
book-en/chapters/ch46.typ	the preceding ten chapters
book-en/chapters/ch46.typ	two chapters
book-en/chapters/ch48.typ	three chapters
book-en/chapters/ch52.typ	two chapters
book-en/chapters/ch53.typ	three chapters
book-en/chapters/ch54.typ	three chapters
book-en/chapters/ch59.typ	two chapters
book-en/chapters/ch65.typ	three chapters
book-en/chapters/ch66.typ	The next two chapters
book-en/chapters/ch66.typ	two chapters
book-en/chapters/ch68.typ	two chapters
book-en/chapters/ch71.typ	five chapters
book-en/chapters/ch71.typ	the next five chapters
book-en/chapters/ch71.typ	the next two chapters
book-en/chapters/ch71.typ	two chapters
book-en/chapters/ch72.typ	two chapters
book-en/chapters/ch76.typ	six chapters
book-en/chapters/ch76.typ	three chapters
book-en/chapters/ch79.typ	one chapter
book-en/chapters/ch81.typ	six chapters
book-en/chapters/ch82.typ	three remaining chapters
book-en/chapters/ch86.typ	one chapters
book-en/chapters/ch86.typ	two chapters
book-en/chapters/ch86.typ	two remaining chapters
book-en/chapters/ch89.typ	eight chapters
book-en/chapters/ch89.typ	five chapters
book-en/chapters/ch90.typ	nine chapters
book-en/chapters/ch92.typ	seven chapters
book-en/chapters/ch98.typ	one chapter
book-en/chapters/ch98.typ	six chapters
book-en/chapters/ch98.typ	two remaining chapters
book-en/chapters/ch99.typ	ten chapters
book-en/parts/part11s.typ	The last three chapters
book-en/parts/part11s.typ	three chapters
book-en/parts/part12.typ	eight chapters
book-en/parts/part12.typ	nine chapters
book/appendix/a4-reading.typ	두 장
book/chapters/ch01.typ	몇 장
book/chapters/ch01.typ	여러 장
book/chapters/ch03.typ	서른세 장
book/chapters/ch101.typ	두 장
book/chapters/ch12.typ	아홉 장
book/chapters/ch15.typ	열 장
book/chapters/ch16.typ	열다섯 장
book/chapters/ch18.typ	두 장
book/chapters/ch20.typ	세 장
book/chapters/ch25.typ	세 장
book/chapters/ch28.typ	두 장
book/chapters/ch28.typ	스물두 장
book/chapters/ch30.typ	세부
book/chapters/ch32.typ	서른 장
book/chapters/ch36.typ	서른다섯 장
book/chapters/ch36.typ	여러 장
book/chapters/ch37.typ	여섯 장
book/chapters/ch39.typ	두 장
book/chapters/ch41.typ	두 장
book/chapters/ch42.typ	두 장
book/chapters/ch44.typ	열여덟 장
book/chapters/ch46.typ	두 장
book/chapters/ch46.typ	열 장
book/chapters/ch48.typ	세 장
book/chapters/ch50.typ	마흔아홉 장
book/chapters/ch51.typ	마흔네 장
book/chapters/ch52.typ	두 장
book/chapters/ch53.typ	세 장
book/chapters/ch53.typ	쉰 장
book/chapters/ch54.typ	쉰세 장
book/chapters/ch57.typ	여러 장
book/chapters/ch59.typ	두 장
book/chapters/ch62.typ	세부
book/chapters/ch64.typ	세부
book/chapters/ch65.typ	스물세 장
book/chapters/ch66.typ	두 장
book/chapters/ch66.typ	스물두 장
book/chapters/ch67.typ	두 장
book/chapters/ch68.typ	두 장
book/chapters/ch69.typ	두 장
book/chapters/ch69.typ	스물여섯 장
book/chapters/ch71.typ	다섯 장
book/chapters/ch71.typ	두 장
book/chapters/ch72.typ	두 장
book/chapters/ch76.typ	두 장
book/chapters/ch76.typ	여섯 장
book/chapters/ch80.typ	두 장
book/chapters/ch81.typ	서른여섯 장
book/chapters/ch82.typ	세 장
book/chapters/ch82.typ	열일곱 장
book/chapters/ch85.typ	쉰 장
book/chapters/ch86.typ	두 장
book/chapters/ch86.typ	스물한 장
book/chapters/ch88.typ	마흔두 장
book/chapters/ch89.typ	다섯 장
book/chapters/ch90.typ	아홉 장
book/chapters/ch91.typ	부 열
book/chapters/ch92.typ	일곱 장
book/chapters/ch98.typ	두 장
book/chapters/ch98.typ	여섯 장
book/chapters/ch99.typ	열 장
book/front/preface.typ	두 부
book/parts/part02.typ	두 걸음
book/parts/part11s.typ	세 장
book/parts/part12.typ	아홉 장
